
   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    92402    0.716    0.000    3.988    0.000 ops.py:4093(get_collection)
   332096    0.708    0.000    0.708    0.000 ops.py:326(shape)
31966/30734    0.700    0.000    1.524    0.000 copy.py:145(deepcopy)
   330693    0.660    0.000    0.660    0.000 :0(iter)
    92402    0.660    0.000    1.660    0.000 session.py:1054(_extend_graph)
   322032    0.656    0.000    0.656    0.000 dtypes.py:119(as_numpy_dtype)
   312064    0.652    0.000    0.652    0.000 contextlib.py:12(__init__)
    23867    0.648    0.000    0.728    0.000 agent_gym.py:38(_step)
   319950    0.608    0.000    0.608    0.000 session.py:121(<lambda>)
    92402    0.556    0.000    4.544    0.000 variables.py:1036(global_variables)
    92402    0.536    0.000    0.536    0.000 :0(TF_NewBuffer)
    45046    0.532    0.000    1.348    0.000 training.py:493(_standardize_weights)
     5060    0.528    0.000    0.708    0.000 ops.py:96(_extract_stack)
    92392    0.520    0.000    0.724    0.000 topology.py:1847(uses_learning_phase)
    92410    0.508    0.000    2.528    0.000 tensorflow_backend.py:90(learning_phase)
5060/5000    0.488    0.000    6.832    0.001 ops.py:2247(create_op)
    49935    0.452    0.000    0.452    0.000 :0(reduce)
     4790    0.448    0.000    2.176    0.000 common_shapes.py:633(_call_cpp_shape_fn_impl)
    39796    0.440    0.000    6.456    0.000 memory.py:14(sample_batch_indexes)
       10    0.432    0.043    0.432    0.043 :0(TF_ExtendGraph)
    24817    0.428    0.000    0.900    0.000 memory.py:181(append)
    24818    0.408    0.000    0.616    0.000 dqn.py:323(metrics_names)
    24794    0.396    0.000    1.396    0.000 policy.py:174(select_action)
    97202    0.392    0.000    0.392    0.000 :0(TF_GetCode)
    92402    0.392    0.000    0.816    0.000 ops.py:3687(get_default_session)
    97202    0.388    0.000    0.388    0.000 :0(TF_NewStatus)
   229923    0.384    0.000    0.384    0.000 session.py:280(unique_fetches)
    69863    0.356    0.000    0.580    0.000 training.py:1024(_make_predict_function)
    98518    0.356    0.000    0.536    0.000 six.py:598(iteritems)
    92402    0.348    0.000    0.348    0.000 :0(TF_DeleteBuffer)
    67720    0.348    0.000    0.348    0.000 :0(zeros)
    22523    0.328    0.000    0.452    0.000 training.py:196(_check_array_lengths)
   205863    0.324    0.000    0.324    0.000 :0(pop)
13603/13573    0.320    0.000    1.772    0.000 ops.py:642(internal_convert_to_tensor)
5060/5000    0.312    0.000    2.308    0.000 ops.py:1137(__init__)
    24817    0.312    0.000   90.956    0.004 dqn.py:60(compute_batch_q_values)
    45046    0.272    0.000    0.656    0.000 numeric.py:150(ones)
    24817    0.272    0.000   91.428    0.004 dqn.py:66(compute_q_values)
    43485    0.268    0.000    0.576    0.000 fromnumeric.py:55(_wrapfunc)
      100    0.268    0.003    0.364    0.004 env_gym.py:226(isvalid_mazemap)
    99176    0.264    0.000    0.264    0.000 memory.py:50(append)
    69863    0.256    0.000    3.056    0.000 dqn.py:54(process_state_batch)
   115658    0.256    0.000    0.260    0.000 :0(any)
    24794    0.252    0.000    0.252    0.000 :0(uniform)
     5060    0.244    0.000    0.400    0.000 ops.py:1082(_NodeDef)
    42857    0.240    0.000    0.240    0.000 :0(argmax)
    97202    0.240    0.000    0.240    0.000 :0(TF_DeleteStatus)
    45087    0.224    0.000    0.224    0.000 :0(copyto)
    42857    0.216    0.000    0.780    0.000 fromnumeric.py:910(argmax)
    53684    0.216    0.000    0.332    0.000 dtypes.py:537(as_dtype)
    31220    0.212    0.000    0.284    0.000 copy.py:267(_keep_alive)
    16771    0.212    0.000    0.228    0.000 tensor_shape.py:764(as_proto)
    92402    0.204    0.000    0.204    0.000 session.py:444(targets)
    22523    0.200    0.000    0.280    0.000 training.py:237(_check_loss_and_target_compatibility)
    24817    0.200    0.000    0.200    0.000 :0(flatten)
    92402    0.200    0.000    0.200    0.000 session.py:436(fetches)
     4790    0.196    0.000    0.196    0.000 :0(RunCppShapeInference)
     8816    0.192    0.000    0.524    0.000 common_shapes.py:641(tensor_to_inference_result)
    22551    0.188    0.000    0.320    0.000 topology.py:731(_get_node_attribute_at_index)
    10617    0.188    0.000    0.580    0.000 ops.py:3854(_get_graph_from_inputs)
    45449    0.188    0.000    0.188    0.000 :0(astype)
    92397    0.188    0.000    0.188    0.000 session.py:340(unique_fetches)
    93896    0.180    0.000    0.180    0.000 ops.py:3793(_GetGlobalDefaultGraph)
    98684    0.180    0.000    0.180    0.000 :0(iteritems)
24013/146    0.172    0.000 1501.780   10.286 core.py:83(step)
    22670    0.172    0.000    0.516    0.000 fromnumeric.py:2255(amin)
    22541    0.168    0.000    0.512    0.000 topology.py:867(input)
    30732    0.168    0.000    0.168    0.000 :0(__deepcopy__)
    22523    0.164    0.000    0.416    0.000 shape_base.py:223(expand_dims)
    45046    0.160    0.000    0.160    0.000 :0(empty)
    25957    0.160    0.000    0.160    0.000 :0(extend)
     5060    0.152    0.000    3.256    0.001 ops.py:1709(set_shapes_for_outputs)
    18872    0.152    0.000    0.152    0.000 :0(SerializeToString)
    23423    0.148    0.000    0.148    0.000 :0(reshape)
    24817    0.144    0.000    0.208    0.000 memory.py:86(append)
    73023    0.144    0.000    0.144    0.000 dqn.py:336(policy)
    20334    0.144    0.000    0.512    0.000 policy.py:85(select_action)
    92402    0.136    0.000    0.136    0.000 pywrap_tensorflow_internal.py:339(<lambda>)
    14744    0.136    0.000    0.324    0.000 dtypes.py:231(is_compatible_with)
    49007    0.132    0.000    0.132    0.000 utils.py:29(inMap)
     5060    0.132    0.000    2.444    0.000 common_shapes.py:557(call_cpp_shape_fn)
     4460    0.132    0.000    0.132    0.000 :0(random_integers)
    23463    0.128    0.000    0.272    0.000 _methods.py:25(_amax)
     1234    0.124    0.000    0.572    0.000 tensor_util.py:305(make_tensor_proto)
